session_id,person_id,timestamp,duration_seconds,page_views,campaign_id,source,device,country
1000034,10002,2024-02-05 11:00:00,1519,7,1027,organic,mobile,US
1000035,10002,2024-12-21 14:00:00,2185,4,1046,paid,mobile,US
1000036,10002,2024-07-03 10:00:00,98,5,1034,paid,desktop,US
1000037,10002,2024-01-28 19:00:00,74,7,1034,organic,mobile,US
1000038,10002,2024-08-14 16:00:00,65,3,1010,direct,tablet,US
1000039,10002,2024-01-19 16:00:00,56,5,1020,organic,desktop,US
1000040,10002,2024-10-07 00:00:00,763,6,1030,organic,tablet,US
1000041,10003,2024-06-01 03:00:00,88,7,1004,organic,mobile,US
1000042,10003,2024-10-30 00:00:00,663,7,1013,organic,desktop,US
1000043,10003,2024-04-11 17:00:00,39,8,1024,paid,desktop,US
1000044,10003,2024-03-15 20:00:00,248,5,1000,paid,desktop,US
1000045,10003,2024-09-16 06:00:00,210,3,1041,referral,desktop,GB
1000046,10003,2024-07-28 20:00:00,57,7,1044,organic,desktop,FR
1000047,10003,2024-01-16 20:00:00,162,6,1031,organic,mobile,FR
1000048,10003,2024-01-04 18:00:00,16,10,1019,direct,mobile,JP
1000049,10003,2024-02-17 19:00:00,80,3,1043,referral,desktop,AU
1000050,10003,2024-03-16 03:00:00,2726,4,1018,paid,desktop,BR
1000051,10003,2024-09-22 08:00:00,18,7,1044,referral,desktop,US
1000052,10003,2024-03-24 14:00:00,267,4,1016,organic,desktop,FR
1000053,10003,2024-07-06 18:00:00,322,4,1025,direct,desktop,AU
1000054,10003,2024-02-18 19:00:00,450,6,1031,social,desktop,GB
1000055,10004,2024-09-12 17:00:00,721,6,1036,referral,mobile,US
1000056,10004,2024-09-03 19:00:00,35,4,1013,direct,mobile,SG
1000057,10004,2024-01-11 03:00:00,171,4,1016,referral,mobile,GB
1000058,10004,2024-04-08 22:00:00,125,6,1033,paid,desktop,IN
1000059,10004,2024-07-01 18:00:00,10,4,1048,direct,mobile,JP
1000060,10004,2024-11-12 20:00:00,94,4,1004,organic,mobile,US
1000061,10004,2024-09-22 05:00:00,144,2,1001,referral,desktop,GB
1000062,10004,2024-03-14 12:00:00,956,6,1049,paid,mobile,GB
1000063,10004,2024-05-03 14:00:00,161,4,1014,paid,desktop,US
1000064,10004,2024-06-04 19:00:00,143,2,1005,referral,desktop,US
1000065,10004,2024-02-29 20:00:00,483,5,1021,organic,desktop,GB
1000066,10004,2024-06-11 03:00:00,14,6,1012,organic,mobile,US
1000067,10004,2024-12-30 22:00:00,204,2,1032,referral,desktop,US
1000068,10004,2024-04-10 15:00:00,107,8,1009,social,mobile,FR
1000069,10004,2024-05-31 11:00:00,228,6,1017,direct,desktop,US
1000070,10004,2024-10-19 00:00:00,2762,6,1036,direct,desktop,IN
1000071,10004,2024-08-01 03:00:00,16,1,1018,referral,desktop,DE
1000072,10005,2024-05-17 07:00:00,908,6,1014,social,tablet,US
1000073,10005,2024-04-09 01:00:00,379,4,1024,referral,desktop,DE
1000074,10005,2024-01-18 12:00:00,225,2,1048,referral,desktop,US
1000075,10005,2024-08-23 12:00:00,185,6,1022,referral,desktop,US
1000076,10005,2024-10-15 20:00:00,335,6,1041,paid,mobile,GB
1000077,10005,2024-07-27 01:00:00,1045,6,1040,paid,desktop,US
1000078,10005,2024-07-26 15:00:00,107,9,1020,referral,desktop,FR
1000079,10005,2024-03-29 23:00:00,561,4,1010,organic,mobile,GB
1000080,10005,2024-03-11 01:00:00,24,3,1011,organic,mobile,CA
1000081,10005,2024-10-12 11:00:00,24,4,1011,direct,desktop,FR
1000082,10005,2024-12-22 11:00:00,1002,2,1022,referral,desktop,FR
1000083,10005,2024-10-03 09:00:00,107,3,1035,paid,desktop,DE
1000084,10005,2024-05-27 08:00:00,84,8,1012,direct,desktop,DE
1000085,10005,2024-02-11 00:00:00,161,7,1022,social,desktop,US
1000086,10005,2024-08-22 10:00:00,87,6,1017,organic,desktop,IN
1000087,10006,2024-04-06 16:00:00,86,5,1041,organic,desktop,US
1000088,10006,2024-11-15 13:00:00,109,3,1029,direct,desktop,CA
1000089,10006,2024-03-23 20:00:00,10,2,1043,paid,tablet,SG
1000090,10006,2024-09-24 21:00:00,161,8,1017,social,desktop,DE
1000091,10006,2024-01-15 23:00:00,554,8,1048,organic,desktop,GB
1000092,10006,2024-03-12 06:00:00,1322,3,1001,organic,mobile,DE
1000093,10006,2024-02-15 21:00:00,26,6,1000,organic,desktop,BR
1000094,10006,2024-07-29 15:00:00,156,4,1010,paid,desktop,FR
1000095,10006,2024-11-25 22:00:00,26,7,1010,social,desktop,FR
1000096,10006,2024-02-20 16:00:00,95,2,1047,paid,mobile,DE
1000097,10006,2024-09-16 03:00:00,112,5,1039,paid,desktop,GB
1000098,10006,2024-08-08 15:00:00,54,2,1030,email,desktop,CA
1000099,10006,2024-10-30 13:00:00,2311,5,1026,organic,desktop,DE
1000100,10006,2024-09-29 00:00:00,265,3,1035,paid,desktop,SG
1000101,10006,2024-05-01 07:00:00,3600,7,1002,social,desktop,DE
1000102,10006,2024-10-19 01:00:00,73,5,1037,direct,mobile,US
1000103,10006,2024-07-30 03:00:00,47,6,1030,organic,tablet,US
1000104,10007,2024-05-12 22:00:00,381,9,1007,organic,desktop,US
1000105,10007,2024-08-19 08:00:00,146,5,1001,paid,desktop,FR
1000106,10007,2024-05-12 23:00:00,67,6,1032,referral,mobile,GB
1000107,10007,2024-02-02 21:00:00,145,6,1023,organic,mobile,DE
1000108,10007,2024-10-05 10:00:00,2449,11,1007,referral,desktop,GB
1000109,10007,2024-04-29 21:00:00,248,4,1014,referral,desktop,SG
1000110,10007,2024-09-22 09:00:00,109,4,1004,organic,desktop,BR
1000111,10007,2024-03-26 12:00:00,20,8,1008,organic,desktop,AU
1000112,10007,2024-05-13 16:00:00,646,7,1014,organic,mobile,SG
1000113,10008,2024-02-21 14:00:00,1288,3,1002,organic,mobile,DE
1000114,10008,2024-12-10 16:00:00,136,11,1011,email,mobile,DE
1000115,10008,2024-11-18 03:00:00,114,2,1011,organic,desktop,JP
1000116,10008,2024-03-06 12:00:00,288,3,1014,direct,mobile,US
1000117,10008,2024-02-20 22:00:00,32,4,1016,direct,mobile,US
1000118,10008,2024-01-28 05:00:00,352,5,1047,organic,desktop,US
1000119,10008,2024-06-13 21:00:00,705,4,1038,direct,desktop,US
1000120,10008,2024-05-16 22:00:00,231,5,1042,referral,desktop,US
1000121,10008,2024-03-19 05:00:00,1964,1,1046,direct,mobile,US
1000122,10008,2024-01-31 00:00:00,81,4,1042,paid,desktop,CA
1000123,10008,2024-03-01 23:00:00,197,9,1048,organic,desktop,AU
1000124,10008,2024-12-31 01:00:00,67,8,1015,paid,desktop,IN
1000125,10008,2024-05-26 21:00:00,845,2,1000,referral,desktop,AU
1000126,10008,2024-06-24 11:00:00,21,3,1029,organic,desktop,US
1000127,10008,2024-07-28 09:00:00,339,2,1007,paid,mobile,DE
1000128,10009,2024-11-01 15:00:00,76,5,1023,direct,desktop,US
1000129,10009,2024-06-14 06:00:00,428,6,1002,paid,tablet,US
1000130,10009,2024-11-14 02:00:00,494,5,1045,organic,desktop,DE
1000131,10009,2024-04-15 13:00:00,38,3,1006,paid,mobile,DE
1000132,10009,2024-08-01 20:00:00,613,3,1024,direct,desktop,US
1000133,10009,2024-11-08 08:00:00,54,7,1022,organic,desktop,GB
1000134,10009,2024-12-06 07:00:00,108,4,1014,organic,desktop,GB
1000135,10009,2024-09-09 08:00:00,231,5,1040,paid,desktop,DE
1000136,10009,2024-07-26 15:00:00,229,4,1035,organic,desktop,US
1000137,10009,2024-06-19 04:00:00,68,5,1024,organic,desktop,US
1000138,10009,2024-10-16 11:00:00,478,3,1035,organic,tablet,DE
1000139,10009,2024-12-10 02:00:00,499,7,1013,paid,desktop,CA
1000140,10009,2024-12-19 20:00:00,34,5,1018,referral,desktop,FR
1000141,10009,2024-08-18 22:00:00,149,9,1041,organic,tablet,US
1000142,10009,2024-05-19 20:00:00,295,2,1014,organic,mobile,SG
1000143,10009,2024-12-06 06:00:00,190,3,1001,referral,desktop,CA
1000144,10009,2024-01-12 12:00:00,217,8,1034,social,desktop,FR
1000145,10009,2024-01-26 19:00:00,1180,10,1031,referral,mobile,BR
1000146,10009,2024-08-19 07:00:00,98,5,1000,organic,desktop,US
1000147,10010,2024-12-06 08:00:00,258,3,1042,social,desktop,DE
1000148,10010,2024-05-10 23:00:00,1649,4,1025,organic,mobile,IN
1000149,10010,2024-03-10 06:00:00,63,9,1045,referral,desktop,US
1000150,10010,2024-08-03 14:00:00,727,1,1024,email,desktop,SG
1000151,10010,2024-11-24 20:00:00,168,5,1026,organic,desktop,AU
1000152,10010,2024-08-17 10:00:00,269,9,1018,organic,desktop,US
1000153,10010,2024-03-24 01:00:00,13,2,1007,organic,mobile,US
1000154,10010,2024-01-06 21:00:00,255,7,1011,organic,desktop,US
1000155,10010,2024-10-01 17:00:00,41,1,1040,social,mobile,CA
1000156,10010,2024-07-23 14:00:00,629,7,1014,referral,mobile,DE
1000157,10010,2024-11-14 14:00:00,11,3,1020,organic,desktop,US
1000158,10010,2024-01-22 23:00:00,238,3,1001,social,mobile,FR
1000159,10010,2024-04-06 12:00:00,238,8,1016,social,mobile,US
1000160,10010,2024-10-06 05:00:00,245,5,1009,organic,desktop,GB
1000161,10010,2024-01-03 10:00:00,412,12,1015,direct,desktop,AU
1000162,10010,2024-06-02 05:00:00,30,5,1021,referral,mobile,US
1000163,10011,2024-07-12 17:00:00,1812,5,1000,direct,desktop,FR
1000164,10011,2024-12-12 07:00:00,209,5,1030,referral,desktop,US
1000165,10011,2024-06-21 22:00:00,3354,4,1002,organic,mobile,GB
1000166,10011,2024-04-21 18:00:00,243,5,1002,paid,mobile,DE
1000167,10011,2024-09-04 14:00:00,38,5,1002,social,desktop,US
1000168,10011,2024-06-25 18:00:00,34,5,1020,paid,desktop,IN
1000169,10011,2024-06-22 18:00:00,84,6,1025,referral,mobile,GB
1000170,10011,2024-12-23 11:00:00,182,4,1006,referral,desktop,AU
1000171,10011,2024-05-26 15:00:00,20,4,1001,organic,mobile,GB
1000172,10011,2024-06-30 06:00:00,99,6,1048,paid,desktop,GB
1000173,10012,2024-03-07 13:00:00,10,4,1002,referral,mobile,US
1000174,10012,2024-07-20 06:00:00,106,5,1024,paid,desktop,US
1000175,10012,2024-12-10 07:00:00,231,3,1017,social,mobile,CA
1000176,10012,2024-10-30 12:00:00,105,5,1028,referral,desktop,SG
1000177,10012,2024-05-16 12:00:00,18,1,1047,referral,desktop,US
1000178,10012,2024-11-08 07:00:00,648,4,1006,referral,desktop,US
1000179,10012,2024-09-02 10:00:00,10,5,1007,referral,mobile,US
1000180,10012,2024-03-06 01:00:00,102,8,1046,referral,desktop,IN
1000181,10012,2024-07-09 02:00:00,60,13,1046,organic,desktop,FR
1000182,10012,2024-10-22 12:00:00,113,10,1011,referral,desktop,GB
1000183,10012,2024-11-12 03:00:00,1364,6,1033,referral,mobile,FR
1000184,10012,2024-02-27 10:00:00,52,4,1026,organic,desktop,CA
1000185,10012,2024-02-08 02:00:00,75,3,1027,direct,mobile,GB
1000186,10012,2024-06-15 12:00:00,54,4,1033,organic,desktop,US
1000187,10012,2024-09-04 12:00:00,670,5,1047,referral,mobile,US
1000188,10012,2024-08-10 13:00:00,41,1,1038,organic,desktop,DE
1000189,10013,2024-05-21 05:00:00,2152,10,1032,organic,mobile,CA
1000190,10013,2024-07-28 19:00:00,630,2,1036,organic,mobile,JP
1000191,10013,2024-03-27 00:00:00,104,4,1016,organic,desktop,AU
1000192,10013,2024-02-14 06:00:00,379,2,1027,organic,mobile,US
1000193,10013,2024-08-07 09:00:00,527,2,1033,organic,mobile,DE
1000194,10013,2024-06-04 13:00:00,154,4,1007,email,desktop,AU
1000195,10013,2024-07-01 13:00:00,70,1,1042,direct,tablet,IN
1000196,10013,2024-05-24 02:00:00,143,7,1006,referral,mobile,US
1000197,10013,2024-07-17 21:00:00,28,2,1019,social,mobile,SG
1000198,10013,2024-11-03 08:00:00,405,7,1044,direct,mobile,US
1000199,10013,2024-04-09 19:00:00,76,2,1015,organic,desktop,US
1000200,10013,2024-07-03 08:00:00,87,1,1048,organic,mobile,CA
1000201,10013,2024-03-06 10:00:00,132,4,1025,social,tablet,SG
1000202,10013,2024-01-12 06:00:00,54,4,1030,social,desktop,US
1000203,10013,2024-08-28 17:00:00,318,11,1016,organic,mobile,CA
1000204,10013,2024-11-21 04:00:00,27,5,1019,referral,desktop,IN
1000205,10013,2024-04-11 06:00:00,64,3,1021,email,desktop,US
1000206,10013,2024-10-04 08:00:00,154,5,1006,organic,desktop,DE
1000207,10013,2024-03-27 18:00:00,387,5,1038,referral,desktop,CA
1000208,10014,2024-08-21 20:00:00,400,5,1007,paid,desktop,US
1000209,10014,2024-08-18 16:00:00,106,6,1036,social,desktop,US
1000210,10014,2024-08-28 02:00:00,11,5,1015,paid,desktop,US
1000211,10014,2024-01-06 08:00:00,92,5,1018,paid,mobile,US
1000212,10014,2024-08-20 19:00:00,27,8,1011,referral,tablet,US
1000213,10014,2024-06-04 11:00:00,195,9,1028,organic,desktop,CA
1000214,10014,2024-10-11 05:00:00,227,2,1020,referral,desktop,BR
1000215,10014,2024-06-22 14:00:00,130,4,1049,direct,desktop,DE
1000216,10014,2024-10-23 10:00:00,53,3,1026,direct,desktop,US
1000217,10014,2024-10-10 08:00:00,21,8,1006,paid,desktop,FR
1000218,10014,2024-05-02 01:00:00,32,4,1047,referral,tablet,SG
1000219,10014,2024-05-23 15:00:00,46,1,1023,direct,mobile,CA
1000220,10014,2024-01-30 05:00:00,94,7,1034,referral,mobile,US
1000221,10014,2024-05-19 01:00:00,10,5,1035,direct,desktop,FR
1000222,10014,2024-12-19 11:00:00,64,6,1023,social,desktop,US
1000223,10014,2024-08-04 23:00:00,252,6,1006,referral,mobile,US
1000224,10014,2024-07-12 22:00:00,51,4,1028,social,desktop,AU
1000225,10014,2024-10-11 05:00:00,119,6,1020,organic,desktop,DE
1000226,10014,2024-08-04 10:00:00,326,7,1013,social,mobile,US
1000227,10014,2024-10-17 06:00:00,353,2,1048,organic,desktop,US
1000228,10014,2024-07-07 06:00:00,1783,2,1027,organic,tablet,US
1000229,10014,2024-10-23 20:00:00,99,7,1048,direct,desktop,US
1000230,10014,2024-12-25 16:00:00,424,5,1041,paid,mobile,US
1000231,10014,2024-11-12 05:00:00,138,6,1043,organic,desktop,US
1000232,10014,2024-11-09 19:00:00,1340,4,1019,referral,desktop,US
1000233,10015,2024-10-20 04:00:00,626,6,1044,organic,desktop,FR
1000234,10015,2024-01-26 15:00:00,187,3,1024,organic,mobile,CA
1000235,10015,2024-11-29 07:00:00,300,1,1041,organic,desktop,US
1000236,10015,2024-04-03 14:00:00,1202,7,1012,organic,mobile,US
1000237,10015,2024-09-23 15:00:00,449,6,1047,referral,desktop,DE
1000238,10015,2024-01-09 12:00:00,31,7,1038,direct,desktop,US
1000239,10015,2024-02-03 17:00:00,243,4,1015,organic,desktop,GB
1000240,10015,2024-12-19 12:00:00,72,6,1014,social,mobile,DE
1000241,10015,2024-03-21 01:00:00,185,4,1046,organic,mobile,DE
1000242,10015,2024-05-06 19:00:00,88,6,1005,direct,desktop,US
1000243,10015,2024-10-03 01:00:00,251,3,1031,social,mobile,DE
1000244,10015,2024-09-19 23:00:00,1153,5,1002,social,tablet,US
1000245,10015,2024-07-22 06:00:00,39,4,1021,direct,desktop,IN
1000246,10015,2024-01-30 06:00:00,235,10,1001,referral,mobile,JP
1000247,10015,2024-01-01 13:00:00,528,8,1044,social,mobile,FR
1000248,10015,2024-12-14 16:00:00,10,5,1012,organic,desktop,GB
1000249,10015,2024-05-16 06:00:00,208,6,1010,social,desktop,IN
1000250,10016,2024-10-25 12:00:00,29,6,1046,email,desktop,US
1000251,10016,2024-08-26 14:00:00,133,7,1000,organic,mobile,US
1000252,10016,2024-09-27 09:00:00,544,3,1022,organic,mobile,DE
1000253,10016,2024-10-28 21:00:00,291,6,1003,referral,mobile,US
1000254,10016,2024-12-26 08:00:00,258,4,1023,organic,desktop,CA
1000255,10016,2024-07-05 01:00:00,414,3,1023,direct,desktop,US
1000256,10016,2024-07-15 12:00:00,231,3,1001,organic,desktop,SG
1000257,10016,2024-09-26 15:00:00,124,4,1018,organic,mobile,US
1000258,10016,2024-08-30 23:00:00,15,5,1035,social,desktop,US
1000259,10016,2024-08-18 06:00:00,253,4,1032,paid,desktop,US
1000260,10016,2024-11-23 12:00:00,16,0,1003,social,mobile,US
1000261,10016,2024-05-06 20:00:00,2723,4,1028,paid,mobile,AU
1000262,10016,2024-03-26 10:00:00,3023,3,1049,organic,mobile,GB
1000263,10017,2024-05-13 10:00:00,39,6,1030,direct,mobile,US
1000264,10017,2024-05-31 00:00:00,76,7,1021,referral,desktop,GB
1000265,10017,2024-03-24 12:00:00,265,4,1044,organic,desktop,DE
1000266,10017,2024-01-19 20:00:00,544,7,1047,organic,desktop,DE
1000267,10017,2024-08-07 06:00:00,54,2,1038,referral,mobile,US
1000268,10017,2024-01-16 20:00:00,356,1,1029,organic,mobile,FR
1000269,10017,2024-10-01 19:00:00,578,5,1043,organic,desktop,US
1000270,10017,2024-06-17 00:00:00,44,5,1018,social,desktop,CA
1000271,10017,2024-03-25 13:00:00,512,8,1014,paid,mobile,US
1000272,10017,2024-02-21 12:00:00,82,4,1006,paid,desktop,US
1000273,10017,2024-11-05 04:00:00,48,4,1020,paid,desktop,US
1000274,10017,2024-10-05 02:00:00,144,3,1049,direct,desktop,GB
1000275,10018,2024-01-21 20:00:00,332,3,1032,organic,desktop,GB
1000276,10018,2024-02-22 18:00:00,632,4,1012,referral,mobile,AU
1000277,10018,2024-03-30 02:00:00,206,7,1013,referral,desktop,US
1000278,10018,2024-09-08 08:00:00,45,2,1044,direct,mobile,AU
1000279,10018,2024-05-17 01:00:00,76,8,1012,organic,desktop,DE
1000280,10018,2024-12-16 02:00:00,46,3,1046,referral,desktop,US
1000281,10018,2024-02-05 16:00:00,34,3,1047,organic,mobile,DE
1000282,10018,2024-05-10 02:00:00,10,2,1017,organic,desktop,US
1000283,10018,2024-03-30 16:00:00,192,5,1027,organic,desktop,FR
1000284,10018,2024-01-31 00:00:00,329,4,1001,organic,tablet,US
1000285,10018,2024-06-07 09:00:00,19,6,1005,organic,mobile,AU
1000286,10018,2024-02-07 20:00:00,112,7,1008,paid,desktop,IN
1000287,10018,2024-08-26 12:00:00,52,7,1045,direct,mobile,US
1000288,10018,2024-12-05 07:00:00,52,10,1025,social,mobile,DE
1000289,10018,2024-12-05 20:00:00,120,8,1032,organic,mobile,GB
1000290,10019,2024-04-30 11:00:00,109,3,1047,direct,desktop,US
1000291,10019,2024-09-17 05:00:00,245,3,1007,social,desktop,US
1000292,10019,2024-09-11 21:00:00,73,6,1018,paid,mobile,US
1000293,10019,2024-06-05 13:00:00,1034,6,1027,social,mobile,JP
1000294,10019,2024-03-19 20:00:00,632,3,1020,paid,mobile,GB
1000295,10019,2024-05-27 02:00:00,354,7,1024,referral,desktop,IN
1000296,10019,2024-10-29 20:00:00,191,4,1046,social,tablet,JP
1000297,10019,2024-10-26 15:00:00,34,5,1008,paid,desktop,US
1000298,10019,2024-12-05 12:00:00,104,7,1019,referral,desktop,US
1000299,10019,2024-02-08 14:00:00,58,7,1037,direct,desktop,US
1000300,10019,2024-08-25 13:00:00,282,3,1039,organic,desktop,US
1000301,10019,2024-02-06 09:00:00,529,6,1028,paid,desktop,AU
1000302,10020,2024-09-21 13:00:00,295,3,1030,organic,mobile,FR
1000303,10020,2024-04-03 06:00:00,65,5,1023,email,mobile,US
1000304,10020,2024-04-04 00:00:00,312,2,1023,organic,mobile,BR
1000305,10020,2024-07-15 13:00:00,137,9,1023,organic,mobile,GB
1000306,10020,2024-02-22 13:00:00,267,6,1045,direct,desktop,US
1000307,10020,2024-01-12 00:00:00,67,6,1002,organic,mobile,FR
1000308,10020,2024-06-22 04:00:00,546,4,1020,paid,desktop,FR
1000309,10020,2024-06-28 18:00:00,17,2,1038,direct,mobile,FR
1000310,10020,2024-10-19 05:00:00,46,5,1007,social,mobile,US
1000311,10020,2024-04-18 22:00:00,60,5,1015,organic,desktop,FR
1000312,10021,2024-10-24 17:00:00,1010,10,1010,direct,desktop,FR
1000313,10021,2024-04-17 21:00:00,37,2,1005,referral,desktop,US
1000314,10021,2024-02-27 20:00:00,154,5,1004,organic,desktop,US
1000315,10021,2024-11-18 18:00:00,715,10,1012,paid,desktop,FR
1000316,10021,2024-01-31 12:00:00,315,2,1027,referral,desktop,CA
1000317,10021,2024-11-13 13:00:00,692,5,1047,organic,desktop,BR
1000318,10021,2024-09-10 18:00:00,34,2,1007,social,desktop,GB
1000319,10021,2024-12-07 19:00:00,482,2,1026,referral,mobile,AU
1000320,10021,2024-07-07 22:00:00,342,8,1028,email,desktop,IN
1000321,10021,2024-03-21 01:00:00,1471,4,1016,referral,mobile,FR
1000322,10021,2024-12-31 11:00:00,173,6,1020,organic,tablet,GB
1000323,10021,2024-04-07 23:00:00,83,6,1028,paid,mobile,BR
1000324,10021,2024-04-15 20:00:00,229,6,1043,direct,mobile,CA
1000325,10021,2024-10-12 11:00:00,93,3,1013,direct,desktop,US
1000326,10021,2024-06-09 11:00:00,137,5,1042,email,desktop,GB
1000327,10021,2024-09-10 18:00:00,179,5,1045,paid,desktop,US
1000328,10021,2024-11-08 08:00:00,285,3,1044,referral,desktop,US
1000329,10021,2024-12-05 17:00:00,76,7,1018,paid,mobile,CA
1000330,10022,2024-10-20 19:00:00,270,5,1006,referral,desktop,US
1000331,10022,2024-06-25 05:00:00,74,3,1010,organic,desktop,GB
1000332,10022,2024-08-23 20:00:00,98,1,1012,paid,mobile,JP
1000333,10022,2024-01-25 20:00:00,370,8,1049,referral,desktop,US
1000334,10022,2024-01-07 03:00:00,188,5,1048,organic,mobile,FR
1000335,10022,2024-09-07 14:00:00,432,5,1038,organic,mobile,US
1000336,10022,2024-10-13 00:00:00,166,5,1027,paid,desktop,US
1000337,10022,2024-12-31 06:00:00,195,4,1010,referral,desktop,US
1000338,10022,2024-06-08 14:00:00,20,5,1008,organic,desktop,FR
1000339,10022,2024-12-14 06:00:00,406,8,1002,direct,desktop,JP
1000340,10022,2024-06-17 10:00:00,227,1,1012,organic,mobile,GB
1000341,10022,2024-09-03 19:00:00,117,6,1038,referral,mobile,AU
1000342,10022,2024-03-06 22:00:00,82,2,1003,paid,tablet,DE
1000343,10022,2024-12-09 05:00:00,105,6,1015,paid,desktop,US
1000344,10023,2024-10-24 00:00:00,407,4,1019,organic,mobile,AU
1000345,10023,2024-06-30 12:00:00,24,4,1019,organic,desktop,US
1000346,10023,2024-02-23 07:00:00,616,5,1040,direct,desktop,US
1000347,10023,2024-09-06 17:00:00,46,4,1001,paid,desktop,CA
1000348,10023,2024-07-08 10:00:00,140,2,1026,referral,desktop,JP
1000349,10023,2024-08-29 06:00:00,375,6,1044,organic,tablet,US
1000350,10023,2024-06-27 13:00:00,45,3,1011,organic,mobile,JP
1000351,10023,2024-07-03 04:00:00,113,6,1009,organic,mobile,CA
1000352,10023,2024-03-13 03:00:00,334,5,1026,social,mobile,DE
1000353,10023,2024-04-23 05:00:00,61,8,1012,organic,mobile,GB
1000354,10023,2024-09-01 06:00:00,70,6,1039,paid,mobile,US
1000355,10024,2024-04-26 15:00:00,50,4,1047,organic,desktop,US
1000356,10024,2024-06-21 15:00:00,137,4,1042,referral,desktop,FR
1000357,10024,2024-06-22 21:00:00,921,6,1017,direct,mobile,CA
1000358,10024,2024-02-26 12:00:00,106,5,1012,referral,desktop,FR
1000359,10024,2024-08-21 11:00:00,54,4,1021,social,desktop,US
1000360,10024,2024-12-26 15:00:00,41,7,1028,organic,desktop,US
1000361,10024,2024-03-15 00:00:00,409,4,1035,social,mobile,JP
1000362,10024,2024-09-06 20:00:00,563,0,1039,referral,mobile,IN
1000363,10024,2024-05-13 00:00:00,674,8,1017,paid,desktop,SG
1000364,10024,2024-03-14 06:00:00,152,3,1019,paid,desktop,US
1000365,10024,2024-04-06 20:00:00,446,7,1020,paid,desktop,BR
1000366,10024,2024-01-22 12:00:00,70,11,1015,email,desktop,US
1000367,10024,2024-06-15 04:00:00,217,4,1040,organic,mobile,DE
1000368,10024,2024-05-15 17:00:00,96,5,1013,paid,desktop,DE
1000369,10025,2024-11-04 10:00:00,79,6,1039,paid,desktop,US
1000370,10025,2024-01-26 03:00:00,253,2,1038,social,desktop,US
1000371,10025,2024-10-09 00:00:00,1044,3,1032,organic,desktop,CA
1000372,10025,2024-06-02 06:00:00,84,5,1011,referral,desktop,US
1000373,10025,2024-06-10 20:00:00,568,6,1006,email,desktop,CA
1000374,10025,2024-12-17 05:00:00,105,4,1038,social,mobile,US
1000375,10025,2024-08-13 12:00:00,237,5,1031,organic,desktop,DE
1000376,10025,2024-01-22 18:00:00,369,7,1031,referral,desktop,US
1000377,10025,2024-11-28 11:00:00,328,3,1044,referral,desktop,US
1000378,10025,2024-04-09 12:00:00,301,7,1048,paid,desktop,DE
1000379,10025,2024-01-23 19:00:00,810,3,1029,referral,mobile,US
1000380,10025,2024-01-06 02:00:00,158,3,1022,referral,desktop,DE
