ticket_id,person_id,company_id,created_at,resolved_at,priority,category,campaign_id
70044,10011,5002,2024-02-21 16:00:00,2024-08-22 13:00:00,medium,account,1002
70045,10011,5079,2024-01-07 11:00:00,2024-02-01 05:00:00,low,how_to,1040
70046,10011,5058,2024-04-30 14:00:00,2024-08-14 17:00:00,medium,billing,1041
70047,10012,5046,2024-03-11 01:00:00,2024-06-06 13:00:00,low,how_to,1023
70048,10012,5142,2024-04-29 05:00:00,2024-05-29 00:00:00,low,how_to,1036
70049,10012,5169,2024-08-17 04:00:00,2024-06-16 10:00:00,medium,bug,1009
70050,10012,5043,2024-11-05 22:00:00,2024-12-31 16:00:00,high,bug,1014
70051,10012,5029,2024-09-21 19:00:00,2024-09-30 02:00:00,low,how_to,1046
70052,10013,5197,2024-03-23 14:00:00,2024-08-26 05:00:00,high,how_to,1023
70053,10013,5119,2024-06-07 14:00:00,2024-03-22 16:00:00,high,bug,1000
70054,10014,5000,2024-02-10 06:00:00,2024-01-16 17:00:00,low,integration,1030
70055,10014,5080,2024-12-04 13:00:00,2024-04-16 12:00:00,high,how_to,1035
70056,10014,5041,2024-07-28 14:00:00,2024-02-18 10:00:00,medium,bug,1000
70057,10015,5030,2024-12-13 06:00:00,2024-04-25 19:00:00,medium,performance,1039
70058,10015,5069,2024-06-03 22:00:00,2024-08-29 03:00:00,low,account,1012
70059,10015,5133,2024-01-03 04:00:00,2024-08-30 16:00:00,medium,account,1041
70060,10015,5132,2024-02-11 15:00:00,2024-08-22 01:00:00,medium,bug,1037
70061,10015,5091,2024-08-29 16:00:00,2024-12-24 17:00:00,low,security,1048
70062,10016,5083,2024-02-16 03:00:00,2024-12-12 21:00:00,low,feature_request,1005
70063,10016,5114,2024-07-13 10:00:00,2024-02-24 17:00:00,low,feature_request,1023
70064,10016,5133,2024-10-07 17:00:00,2024-09-10 22:00:00,critical,bug,1039
70065,10016,5035,2024-03-08 17:00:00,2024-05-26 08:00:00,medium,integration,1049
70066,10017,5110,2024-11-30 12:00:00,2024-05-12 02:00:00,low,billing,1009
70067,10017,5163,2024-09-19 12:00:00,2024-10-28 07:00:00,low,how_to,1004
70068,10017,5175,2024-06-25 10:00:00,2024-06-21 06:00:00,low,bug,1003
70069,10017,5169,2024-06-16 03:00:00,2024-01-23 08:00:00,medium,account,1031
70070,10018,5125,2024-04-15 19:00:00,2024-02-16 21:00:00,high,bug,1035
70071,10018,5058,2024-09-25 18:00:00,2024-02-17 19:00:00,low,bug,1028
70072,10018,5038,2024-07-06 02:00:00,2024-03-20 14:00:00,medium,how_to,1010
70073,10018,5084,2024-06-25 21:00:00,2024-01-17 00:00:00,high,account,1049
70074,10019,5021,2024-02-28 11:00:00,2024-03-08 05:00:00,high,how_to,1036
70075,10019,5120,2024-01-26 06:00:00,2024-08-07 04:00:00,low,how_to,1046
70076,10019,5138,2024-10-17 05:00:00,2024-10-31 16:00:00,medium,billing,1048
70077,10020,5083,2024-06-23 23:00:00,2024-02-17 17:00:00,medium,feature_request,1009
70078,10020,5072,2024-08-20 17:00:00,2024-03-26 01:00:00,low,integration,1023
70079,10021,5109,2024-06-18 14:00:00,2024-09-12 16:00:00,high,bug,1045
70080,10022,5021,2024-04-09 11:00:00,2024-08-03 12:00:00,low,security,1049
70081,10022,5039,2024-07-05 16:00:00,2024-01-20 10:00:00,low,performance,1043
70082,10022,5120,2024-12-01 15:00:00,2024-09-08 10:00:00,low,billing,1043
70083,10022,5130,2024-09-18 03:00:00,2024-02-28 04:00:00,critical,security,1020
70084,10023,5087,2024-08-02 19:00:00,2024-05-19 01:00:00,high,how_to,1000
70085,10023,5088,2024-05-31 20:00:00,2024-06-01 08:00:00,medium,account,1007
70086,10023,5159,2024-05-09 05:00:00,2024-10-26 13:00:00,medium,bug,1006
70087,10024,5191,2024-10-04 12:00:00,2024-05-12 23:00:00,high,billing,1003
70088,10024,5112,2024-01-09 23:00:00,2024-01-21 22:00:00,low,billing,1029
70089,10024,5192,2024-05-05 08:00:00,2024-09-03 18:00:00,low,how_to,1048
70090,10024,5191,2024-07-24 21:00:00,2024-12-22 09:00:00,medium,security,1026
70091,10024,5182,2024-08-15 01:00:00,2024-01-13 15:00:00,low,billing,1003
70092,10024,5006,2024-02-19 23:00:00,2024-01-02 20:00:00,low,security,1004
70093,10025,5007,2024-01-21 08:00:00,2024-06-06 23:00:00,medium,account,1040
70094,10026,5035,2024-04-15 06:00:00,2024-02-19 15:00:00,low,feature_request,1037
70095,10026,5123,2024-02-28 01:00:00,2024-04-23 20:00:00,low,feature_request,1039
70096,10026,5170,2024-11-15 22:00:00,2024-09-02 09:00:00,low,bug,1000
70097,10026,5165,2024-07-12 11:00:00,2024-11-17 05:00:00,low,how_to,1035
70098,10026,5013,2024-11-02 02:00:00,2024-02-12 09:00:00,medium,feature_request,1011
70099,10027,5035,2024-06-27 08:00:00,2024-10-26 05:00:00,high,bug,1004
70100,10027,5059,2024-08-13 20:00:00,2024-02-27 16:00:00,medium,how_to,1030
70101,10027,5025,2024-04-08 02:00:00,2024-07-23 04:00:00,low,security,1011
70102,10028,5065,2024-02-14 05:00:00,2024-11-30 17:00:00,low,account,1006
70103,10029,5109,2024-05-03 23:00:00,2024-11-24 05:00:00,low,integration,1018
70104,10030,5026,2024-11-26 18:00:00,2024-09-11 17:00:00,medium,security,1042
70105,10031,5191,2024-09-13 23:00:00,2024-07-16 15:00:00,low,how_to,1005
70106,10031,5176,2024-10-08 00:00:00,2024-03-09 23:00:00,low,how_to,1017
70107,10031,5140,2024-03-24 14:00:00,2024-05-10 11:00:00,low,billing,1000
70108,10034,5127,2024-02-19 08:00:00,2024-10-03 09:00:00,low,how_to,1006
70109,10034,5085,2024-02-15 19:00:00,2024-07-03 10:00:00,medium,bug,1014
70110,10035,5166,2024-10-24 11:00:00,2024-10-17 06:00:00,medium,security,1023
70111,10035,5165,2024-06-05 10:00:00,2024-05-27 11:00:00,medium,how_to,1039
70112,10035,5060,2024-06-04 14:00:00,2024-12-29 21:00:00,high,how_to,1019
70113,10036,5171,2024-10-28 16:00:00,2024-12-10 12:00:00,medium,billing,1044
70114,10037,5184,2024-11-30 09:00:00,2024-10-03 18:00:00,low,billing,1000
70115,10037,5164,2024-09-07 07:00:00,2024-09-07 04:00:00,high,how_to,1018
70116,10038,5093,2024-11-18 12:00:00,2024-01-26 20:00:00,high,bug,1031
70117,10038,5102,2024-03-14 14:00:00,2024-08-25 05:00:00,low,how_to,1017
70118,10038,5016,2024-06-12 10:00:00,2024-12-13 15:00:00,high,account,1006
70119,10038,5121,2024-08-11 19:00:00,2024-05-12 23:00:00,high,performance,1022
70120,10038,5118,2024-12-27 15:00:00,2024-01-25 14:00:00,high,bug,1027
70121,10039,5141,2024-06-25 10:00:00,2024-03-20 17:00:00,high,how_to,1012
70122,10039,5071,2024-12-18 12:00:00,2024-06-03 10:00:00,high,feature_request,1002
70123,10039,5088,2024-10-27 13:00:00,2024-11-13 14:00:00,low,bug,1047
70124,10039,5071,2024-03-12 11:00:00,2024-01-16 15:00:00,medium,bug,1027
70125,10039,5181,2024-07-02 15:00:00,2024-09-14 19:00:00,medium,bug,1037
70126,10039,5092,2024-07-27 07:00:00,2024-03-13 04:00:00,high,account,1034
70127,10039,5098,2024-06-10 07:00:00,2024-11-04 01:00:00,medium,billing,1028
70128,10039,5086,2024-06-07 04:00:00,2024-10-01 10:00:00,high,performance,1039
70129,10039,5155,2024-03-02 11:00:00,2024-11-10 18:00:00,low,bug,1042
70130,10040,5020,2024-11-30 15:00:00,2024-03-21 09:00:00,high,billing,1011
70131,10040,5062,2024-03-14 07:00:00,2024-05-18 18:00:00,critical,integration,1018
70132,10040,5134,2024-09-13 23:00:00,2024-09-16 23:00:00,low,bug,1025
70133,10041,5106,2024-01-23 00:00:00,2024-03-17 03:00:00,high,feature_request,1045
70134,10041,5117,2024-02-15 22:00:00,2024-09-25 04:00:00,high,bug,1041
70135,10042,5103,2024-12-29 11:00:00,2024-01-13 01:00:00,low,how_to,1030
70136,10043,5005,2024-02-29 16:00:00,2024-05-03 07:00:00,critical,how_to,1010
70137,10043,5169,2024-04-01 03:00:00,2024-11-24 04:00:00,low,bug,1026
70138,10043,5086,2024-03-15 14:00:00,2024-01-28 01:00:00,low,bug,1044
70139,10044,5192,2024-02-07 12:00:00,2024-09-25 19:00:00,low,integration,1012
70140,10044,5137,2024-09-11 17:00:00,2024-10-21 12:00:00,low,billing,1027
70141,10044,5159,2024-02-25 08:00:00,2024-08-30 01:00:00,low,bug,1007
70142,10044,5034,2024-12-04 02:00:00,2024-11-03 01:00:00,low,how_to,1034
70143,10044,5003,2024-09-14 03:00:00,2024-08-04 13:00:00,medium,integration,1042
70144,10044,5120,2024-06-07 19:00:00,2024-10-22 17:00:00,medium,bug,1048
70145,10045,5117,2024-11-01 06:00:00,2024-02-21 19:00:00,low,feature_request,1007
70146,10045,5157,2024-04-25 03:00:00,2024-11-25 13:00:00,medium,integration,1041
70147,10045,5136,2024-09-07 08:00:00,2024-04-30 19:00:00,low,bug,1004
70148,10045,5029,2024-11-06 03:00:00,2024-10-16 13:00:00,high,integration,1043
70149,10046,5189,2024-01-18 03:00:00,2024-09-09 01:00:00,medium,security,1037
70150,10046,5185,2024-07-22 11:00:00,2024-09-04 06:00:00,low,bug,1026
70151,10046,5196,2024-05-19 09:00:00,2024-06-07 22:00:00,medium,how_to,1028
70152,10047,5144,2024-09-30 03:00:00,2024-08-08 20:00:00,low,billing,1001
70153,10047,5092,2024-11-21 22:00:00,2024-04-05 08:00:00,critical,how_to,1003
70154,10047,5083,2024-07-04 07:00:00,2024-04-23 19:00:00,low,bug,1005
70155,10048,5032,2024-03-04 01:00:00,2024-05-04 22:00:00,medium,integration,1005
70156,10048,5166,2024-05-30 03:00:00,2024-09-29 08:00:00,low,integration,1027
70157,10049,5037,2024-08-23 11:00:00,2024-12-05 12:00:00,low,security,1019
70158,10049,5153,2024-12-28 20:00:00,2024-03-03 03:00:00,medium,feature_request,1031
70159,10049,5161,2024-02-10 15:00:00,2024-05-20 21:00:00,low,how_to,1046
70160,10050,5193,2024-06-13 12:00:00,2024-05-22 03:00:00,medium,security,1048
70161,10050,5097,2024-12-24 12:00:00,2024-12-24 08:00:00,low,billing,1036
70162,10051,5199,2024-04-20 15:00:00,2024-01-27 19:00:00,medium,integration,1023
70163,10051,5024,2024-02-15 20:00:00,2024-07-09 15:00:00,medium,bug,1041
70164,10052,5190,2024-08-22 08:00:00,2024-10-16 02:00:00,critical,how_to,1025
70165,10052,5055,2024-12-06 02:00:00,2024-01-24 19:00:00,high,how_to,1017
70166,10052,5004,2024-04-17 12:00:00,2024-08-17 05:00:00,high,billing,1019
70167,10052,5123,2024-04-25 01:00:00,2024-11-15 08:00:00,low,account,1044
70168,10052,5032,2024-01-14 07:00:00,2024-05-31 00:00:00,medium,how_to,1018
70169,10053,5115,2024-09-04 21:00:00,2024-02-28 18:00:00,low,account,1015
70170,10053,5186,2024-12-23 02:00:00,2024-04-22 21:00:00,low,performance,1024
70171,10053,5031,2024-05-18 21:00:00,2024-08-16 23:00:00,medium,bug,1049
70172,10053,5023,2024-03-10 11:00:00,2024-12-03 22:00:00,low,bug,1047
70173,10055,5092,2024-08-04 19:00:00,2024-01-27 07:00:00,medium,how_to,1033
70174,10055,5127,2024-07-12 21:00:00,2024-12-23 22:00:00,low,performance,1031
70175,10055,5021,2024-11-10 22:00:00,2024-10-25 13:00:00,medium,security,1011
70176,10055,5084,2024-03-29 13:00:00,2024-07-01 13:00:00,low,bug,1041
70177,10055,5053,2024-06-28 00:00:00,2024-06-22 14:00:00,high,feature_request,1013
70178,10055,5078,2024-10-13 22:00:00,2024-04-07 22:00:00,low,feature_request,1044
70179,10055,5022,2024-01-23 01:00:00,2024-07-11 13:00:00,high,feature_request,1037
70180,10055,5174,2024-08-29 10:00:00,2024-11-04 08:00:00,medium,account,1016
70181,10055,5192,2024-10-06 10:00:00,2024-10-24 10:00:00,low,how_to,1011
70182,10056,5170,2024-05-25 23:00:00,2024-03-07 01:00:00,medium,integration,1049
70183,10056,5091,2024-03-14 01:00:00,2024-07-23 16:00:00,low,bug,1038
70184,10056,5125,2024-01-18 18:00:00,2024-07-31 11:00:00,low,performance,1036
70185,10056,5091,2024-07-28 08:00:00,2024-03-06 07:00:00,low,account,1003
70186,10056,5085,2024-12-02 20:00:00,2024-05-07 08:00:00,medium,bug,1005
70187,10057,5186,2024-03-08 18:00:00,2024-07-31 14:00:00,medium,integration,1038
70188,10057,5175,2024-03-07 21:00:00,2024-05-03 03:00:00,low,bug,1043
70189,10058,5094,2024-09-20 21:00:00,2024-05-17 03:00:00,high,bug,1043
70190,10059,5043,2024-01-31 05:00:00,2024-12-12 01:00:00,low,how_to,1014
70191,10059,5156,2024-02-15 17:00:00,2024-01-18 06:00:00,medium,bug,1033
70192,10059,5000,2024-06-08 07:00:00,2024-03-30 17:00:00,low,account,1048
70193,10059,5031,2024-12-15 17:00:00,2024-06-24 01:00:00,medium,integration,1025
70194,10059,5016,2024-02-18 03:00:00,2024-10-28 09:00:00,medium,performance,1013
70195,10059,5109,2024-12-29 01:00:00,2024-06-09 09:00:00,medium,performance,1027
70196,10060,5156,2024-12-07 04:00:00,2024-11-08 19:00:00,low,bug,1036
70197,10060,5088,2024-09-22 17:00:00,2024-04-06 22:00:00,high,how_to,1046
70198,10060,5034,2024-06-07 07:00:00,2024-11-30 06:00:00,high,bug,1040
70199,10061,5060,2024-04-10 20:00:00,2024-06-04 03:00:00,medium,feature_request,1025
70200,10061,5046,2024-11-24 16:00:00,2024-02-20 23:00:00,medium,account,1048
70201,10061,5127,2024-04-25 00:00:00,2024-04-01 08:00:00,low,performance,1047
70202,10061,5192,2024-10-16 22:00:00,2024-10-06 12:00:00,low,bug,1026
70203,10062,5084,2024-08-20 16:00:00,2024-11-08 03:00:00,low,how_to,1017
70204,10062,5167,2024-02-16 05:00:00,2024-12-28 08:00:00,low,how_to,1047
70205,10062,5177,2024-05-24 03:00:00,2024-05-12 08:00:00,low,bug,1017
70206,10063,5183,2024-11-23 00:00:00,2024-05-27 05:00:00,high,how_to,1017
70207,10063,5036,2024-02-13 13:00:00,2024-10-08 18:00:00,low,bug,1040
70208,10063,5068,2024-12-10 23:00:00,2024-11-16 04:00:00,medium,account,1016
70209,10063,5048,2024-12-28 20:00:00,2024-12-29 13:00:00,medium,how_to,1030
70210,10063,5100,2024-01-31 15:00:00,2024-09-14 18:00:00,low,billing,1018
70211,10063,5048,2024-06-30 12:00:00,2024-02-07 02:00:00,high,billing,1042
70212,10064,5027,2024-08-08 02:00:00,2024-06-02 16:00:00,high,feature_request,1034
70213,10064,5083,2024-12-21 15:00:00,2024-11-06 13:00:00,medium,security,1019
70214,10065,5077,2024-02-21 18:00:00,2024-06-22 11:00:00,medium,feature_request,1029
70215,10066,5077,2024-06-16 09:00:00,2024-04-25 15:00:00,medium,bug,1003
70216,10066,5128,2024-12-31 15:00:00,2024-10-14 17:00:00,high,account,1012
70217,10066,5061,2024-05-17 11:00:00,2024-03-08 23:00:00,low,feature_request,1007
70218,10067,5052,2024-01-20 23:00:00,2024-06-27 01:00:00,medium,how_to,1005
70219,10067,5009,2024-05-04 21:00:00,2024-08-17 21:00:00,critical,bug,1026
70220,10067,5161,2024-07-23 03:00:00,2024-04-21 09:00:00,low,bug,1001
70221,10068,5002,2024-10-07 11:00:00,2024-04-20 16:00:00,low,performance,1043
70222,10068,5161,2024-05-13 02:00:00,2024-10-02 19:00:00,medium,billing,1026
70223,10068,5164,2024-12-25 01:00:00,2024-10-11 17:00:00,medium,account,1020
70224,10068,5155,2024-05-23 18:00:00,2024-07-20 19:00:00,low,account,1008
70225,10068,5106,2024-08-21 14:00:00,2024-04-05 09:00:00,medium,bug,1023
70226,10068,5169,2024-06-22 19:00:00,2024-12-01 12:00:00,low,integration,1049
70227,10068,5070,2024-06-04 09:00:00,2024-05-27 19:00:00,low,feature_request,1043
70228,10068,5126,2024-02-01 16:00:00,2024-05-31 18:00:00,low,billing,1026
70229,10069,5033,2024-06-20 21:00:00,2024-08-21 05:00:00,medium,integration,1005
70230,10069,5073,2024-06-15 06:00:00,2024-12-07 05:00:00,medium,how_to,1021
70231,10069,5032,2024-08-13 04:00:00,2024-02-12 03:00:00,low,account,1017
70232,10069,5067,2024-11-22 20:00:00,2024-06-17 12:00:00,medium,feature_request,1024
70233,10069,5025,2024-10-29 01:00:00,2024-02-07 08:00:00,critical,how_to,1016
70234,10069,5169,2024-07-06 09:00:00,2024-06-24 21:00:00,medium,billing,1027
70235,10069,5194,2024-01-21 04:00:00,2024-02-01 06:00:00,low,security,1045
70236,10070,5011,2024-02-17 08:00:00,2024-07-08 11:00:00,medium,how_to,1049
70237,10071,5171,2024-09-01 17:00:00,2024-11-16 02:00:00,low,integration,1008
70238,10071,5059,2024-05-07 05:00:00,2024-03-19 07:00:00,medium,integration,1001
70239,10071,5181,2024-02-27 09:00:00,2024-11-30 03:00:00,medium,bug,1026
70240,10071,5189,2024-05-07 05:00:00,2024-01-25 19:00:00,medium,bug,1023
70241,10072,5126,2024-06-25 12:00:00,2024-11-19 19:00:00,high,integration,1023
70242,10072,5024,2024-11-15 18:00:00,2024-07-23 02:00:00,high,integration,1011
70243,10072,5051,2024-05-10 06:00:00,2024-05-18 01:00:00,low,how_to,1002
70244,10072,5191,2024-05-29 13:00:00,2024-02-12 08:00:00,medium,bug,1014
70245,10073,5097,2024-04-11 23:00:00,2024-11-03 02:00:00,low,bug,1022
70246,10073,5005,2024-05-13 05:00:00,2024-01-29 11:00:00,medium,security,1007
70247,10073,5087,2024-11-04 03:00:00,2024-09-04 08:00:00,low,how_to,1018
70248,10074,5019,2024-12-16 01:00:00,2024-09-07 00:00:00,high,account,1000
70249,10074,5155,2024-09-11 05:00:00,2024-07-01 21:00:00,low,bug,1022
70250,10074,5181,2024-04-12 05:00:00,2024-12-29 14:00:00,medium,bug,1033
70251,10075,5010,2024-12-01 18:00:00,2024-09-21 07:00:00,low,bug,1006
70252,10075,5050,2024-06-06 08:00:00,2024-07-04 03:00:00,low,performance,1022
70253,10075,5146,2024-11-09 03:00:00,2024-09-19 12:00:00,high,bug,1004
70254,10076,5096,2024-04-04 12:00:00,2024-06-22 13:00:00,medium,account,1038
70255,10076,5163,2024-10-21 05:00:00,2024-05-30 23:00:00,critical,feature_request,1032
70256,10077,5176,2024-08-19 01:00:00,2024-09-30 17:00:00,medium,how_to,1001
70257,10077,5025,2024-06-09 18:00:00,2024-11-27 15:00:00,high,how_to,1006
70258,10078,5071,2024-02-21 16:00:00,2024-06-06 05:00:00,low,feature_request,1017
70259,10078,5001,2024-01-12 00:00:00,2024-08-10 01:00:00,medium,billing,1027
70260,10078,5077,2024-06-21 06:00:00,2024-10-18 17:00:00,high,feature_request,1036
70261,10078,5028,2024-05-15 00:00:00,2024-11-23 00:00:00,high,bug,1026
70262,10078,5139,2024-10-02 17:00:00,2024-12-22 14:00:00,medium,bug,1044
70263,10078,5168,2024-02-21 07:00:00,2024-11-16 00:00:00,critical,feature_request,1009
70264,10078,5142,2024-04-08 03:00:00,2024-03-21 02:00:00,medium,billing,1042
70265,10078,5014,2024-03-24 21:00:00,2024-04-16 17:00:00,high,performance,1036
70266,10079,5140,2024-04-15 13:00:00,2024-11-14 01:00:00,high,bug,1046
70267,10079,5009,2024-05-28 18:00:00,2024-04-21 15:00:00,medium,how_to,1003
70268,10079,5040,2024-04-21 17:00:00,2024-06-04 21:00:00,low,feature_request,1012
70269,10079,5043,2024-12-10 10:00:00,2024-02-10 09:00:00,high,integration,1025
70270,10079,5081,2024-10-18 09:00:00,2024-03-12 20:00:00,low,billing,1042
70271,10079,5195,2024-06-01 18:00:00,2024-12-05 15:00:00,medium,integration,1006
70272,10079,5189,2024-09-08 17:00:00,2024-03-25 10:00:00,medium,feature_request,1042
70273,10080,5109,2024-12-16 19:00:00,2024-08-11 10:00:00,high,performance,1022
70274,10080,5075,2024-06-08 13:00:00,2024-01-16 19:00:00,medium,integration,1024
70275,10081,5118,2024-05-07 05:00:00,2024-08-24 03:00:00,low,how_to,1032
70276,10082,5145,2024-02-20 23:00:00,2024-05-16 13:00:00,high,account,1005
70277,10083,5056,2024-02-17 10:00:00,2024-10-22 00:00:00,medium,integration,1032
70278,10083,5043,2024-08-18 09:00:00,2024-12-31 12:00:00,low,integration,1048
70279,10084,5083,2024-10-15 16:00:00,2024-10-03 21:00:00,low,bug,1026
70280,10084,5039,2024-04-19 16:00:00,2024-03-27 15:00:00,high,integration,1022
70281,10084,5086,2024-05-26 06:00:00,2024-05-25 00:00:00,low,how_to,1027
70282,10084,5083,2024-10-11 20:00:00,2024-10-06 02:00:00,high,bug,1040
70283,10084,5080,2024-01-15 00:00:00,2024-11-21 00:00:00,medium,bug,1047
70284,10084,5132,2024-06-22 20:00:00,2024-06-12 15:00:00,medium,how_to,1006
70285,10084,5045,2024-07-24 20:00:00,2024-03-03 19:00:00,medium,feature_request,1016
70286,10084,5186,2024-10-29 19:00:00,2024-10-20 12:00:00,high,performance,1004
70287,10085,5081,2024-05-09 23:00:00,2024-09-17 14:00:00,low,account,1044
70288,10085,5194,2024-06-29 23:00:00,2024-09-02 08:00:00,low,how_to,1005
70289,10085,5168,2024-06-18 00:00:00,2024-03-11 18:00:00,low,account,1016
70290,10086,5133,2024-03-05 06:00:00,2024-09-26 09:00:00,low,bug,1018
70291,10087,5151,2024-02-28 15:00:00,2024-02-21 00:00:00,medium,feature_request,1033
70292,10087,5074,2024-05-17 09:00:00,2024-05-05 16:00:00,high,feature_request,1048
70293,10088,5017,2024-04-14 17:00:00,2024-06-01 21:00:00,low,how_to,1034
70294,10088,5162,2024-10-11 03:00:00,2024-03-14 03:00:00,medium,bug,1029
70295,10089,5053,2024-06-24 23:00:00,2024-02-26 06:00:00,critical,bug,1004
70296,10089,5042,2024-04-29 16:00:00,2024-05-02 15:00:00,medium,integration,1022
70297,10090,5140,2024-11-16 08:00:00,2024-12-15 14:00:00,low,how_to,1013
70298,10090,5199,2024-05-09 02:00:00,2024-11-22 18:00:00,high,integration,1021
70299,10090,5084,2024-12-09 01:00:00,2024-12-05 02:00:00,low,how_to,1000
70300,10091,5150,2024-08-22 03:00:00,2024-06-23 22:00:00,high,how_to,1031
70301,10091,5127,2024-02-14 05:00:00,2024-10-21 06:00:00,medium,feature_request,1025
70302,10091,5153,2024-03-03 10:00:00,2024-02-11 18:00:00,low,security,1000
70303,10092,5104,2024-07-06 17:00:00,2024-02-08 23:00:00,low,bug,1046
70304,10092,5102,2024-12-26 02:00:00,2024-07-22 01:00:00,medium,how_to,1040
70305,10092,5022,2024-03-17 09:00:00,2024-01-21 13:00:00,low,how_to,1005
70306,10092,5083,2024-01-03 04:00:00,2024-09-14 10:00:00,low,integration,1048
70307,10093,5034,2024-04-30 16:00:00,2024-04-22 00:00:00,low,how_to,1028
70308,10093,5078,2024-03-24 02:00:00,2024-09-18 18:00:00,low,security,1043
70309,10093,5018,2024-05-08 06:00:00,2024-05-19 17:00:00,low,performance,1029
70310,10093,5091,2024-02-22 00:00:00,2024-05-25 07:00:00,medium,integration,1023
70311,10093,5128,2024-04-22 05:00:00,2024-09-25 11:00:00,low,security,1007
70312,10094,5142,2024-03-23 15:00:00,2024-02-08 23:00:00,low,performance,1048
70313,10094,5043,2024-10-21 03:00:00,2024-09-02 13:00:00,medium,account,1046
70314,10096,5170,2024-05-04 06:00:00,2024-11-10 03:00:00,medium,feature_request,1007
70315,10096,5080,2024-08-18 22:00:00,2024-06-21 07:00:00,low,bug,1002
70316,10096,5071,2024-12-09 20:00:00,2024-04-18 20:00:00,low,bug,1030
70317,10096,5199,2024-12-10 21:00:00,2024-09-27 05:00:00,low,bug,1037
70318,10096,5059,2024-05-12 22:00:00,2024-10-11 09:00:00,low,billing,1028
