metric_id,content_id,date,organic_traffic,keyword_rank,backlinks,domain_rating,referring_domains
100076,2000,2024-06-22,1215,1,15,64,7
100077,2000,2024-10-07,13,1,17,64,11
100078,2000,2024-08-04,31,1,14,65,7
100079,2000,2024-08-20,72,1,7,65,5
100080,2000,2024-03-21,168,1,18,63,12
100081,2000,2024-05-05,224,1,17,63,7
100082,2000,2024-05-24,21,1,19,64,7
100083,2000,2024-01-23,23,1,12,64,8
100084,2000,2024-02-03,319,1,12,66,10
100085,2000,2024-09-29,281,1,13,65,6
100086,2000,2024-09-13,40,1,20,64,3
100087,2000,2024-05-30,213,1,17,63,8
100088,2000,2024-08-03,1223,1,13,64,9
100089,2000,2024-08-27,64,1,12,66,7
100090,2000,2024-10-17,64,1,18,65,9
100091,2000,2024-01-09,170,1,10,65,5
100092,2000,2024-03-16,115,1,11,65,10
100093,2000,2024-04-17,13,1,13,64,7
100094,2000,2024-10-27,195,1,17,65,12
100095,2000,2024-01-29,52,1,16,64,6
100096,2000,2024-08-20,461,1,15,65,9
100097,2000,2024-07-10,61,1,14,65,8
100098,2000,2024-06-12,166,1,19,65,4
100099,2000,2024-04-21,98,1,16,63,5
100100,2000,2024-01-03,902,1,15,65,4
100101,2000,2024-09-07,88,1,14,64,7
100102,2000,2024-05-07,288,1,20,64,10
100103,2000,2024-06-06,165,1,13,62,8
100104,2000,2024-04-01,56,1,12,65,10
100105,2000,2024-10-01,1631,1,11,62,7
100106,2000,2024-12-16,116,1,22,65,9
100107,2000,2024-05-19,396,1,23,64,3
100108,2000,2024-04-25,879,1,17,64,10
100109,2000,2024-06-08,12,1,11,65,6
100110,2000,2024-07-19,219,1,16,66,12
100111,2000,2024-06-10,356,1,8,63,8
100112,2000,2024-02-15,87,1,20,64,8
100113,2000,2024-04-10,134,1,18,64,5
100114,2000,2024-02-08,10,1,11,66,9
100115,2000,2024-08-03,107,1,16,64,4
100116,2000,2024-10-31,222,1,18,64,10
100117,2000,2024-08-14,181,1,13,65,11
100118,2000,2024-09-30,45,1,8,63,6
100119,2000,2024-03-17,69,1,12,64,10
100120,2000,2024-05-19,69,1,14,64,7
100121,2000,2024-05-22,40,1,8,65,7
100122,2000,2024-06-01,519,1,18,63,12
100123,2000,2024-07-30,252,1,14,67,11
100124,2000,2024-04-12,57,1,18,67,8
100125,2000,2024-12-05,529,1,19,65,9
100126,2000,2024-02-01,153,1,11,62,2
100127,2000,2024-08-11,55,1,12,64,8
100128,2000,2024-12-27,170,1,16,65,6
100129,2000,2024-08-03,33,1,12,64,7
100130,2000,2024-04-30,2647,1,16,66,4
100131,2000,2024-12-28,113,1,17,64,11
100132,2000,2024-07-05,1435,1,17,64,3
100133,2000,2024-03-08,48,1,12,64,5
100134,2000,2024-06-09,96,1,19,65,8
100135,2000,2024-06-25,33,1,17,66,14
100136,2000,2024-01-12,10,1,16,65,7
100137,2000,2024-06-24,411,1,19,64,9
100138,2000,2024-06-23,134,1,13,64,6
100139,2000,2024-09-20,70,1,17,64,10
100140,2000,2024-02-11,304,1,20,63,8
100141,2000,2024-11-12,585,1,16,65,7
100142,2000,2024-03-20,161,1,16,64,5
100143,2000,2024-11-19,58,1,15,66,5
100144,2000,2024-10-15,42,1,21,66,7
100145,2000,2024-02-16,101,1,15,65,9
100146,2000,2024-01-31,52,1,20,66,12
100147,2000,2024-03-07,255,1,11,65,6
100148,2000,2024-08-28,89,1,9,65,9
100149,2000,2024-07-14,115,1,20,65,5
100150,2000,2024-12-17,44,1,10,64,9
100151,2000,2024-09-28,198,1,12,65,10
100152,2000,2024-11-29,520,1,9,65,10
100153,2000,2024-06-13,10,1,25,65,12
100154,2000,2024-07-09,16,1,11,64,8
100155,2000,2024-04-03,10,1,19,64,5
100156,2000,2024-05-29,12,1,10,64,6
100157,2000,2024-03-22,53,1,21,65,6
100158,2000,2024-07-26,3725,1,11,66,8
100159,2000,2024-10-10,716,1,24,64,6
100160,2000,2024-09-14,10,1,16,65,10
100161,2000,2024-07-15,155,1,21,65,3
100162,2000,2024-09-28,210,1,26,65,13
100163,2000,2024-01-10,613,1,14,63,6
100164,2000,2024-11-09,14,1,15,63,10
100165,2000,2024-04-23,159,1,15,65,6
100166,2000,2024-09-15,58,1,11,64,10
100167,2000,2024-12-23,71,1,25,64,11
100168,2000,2024-06-10,245,1,9,64,4
100169,2000,2024-10-22,132,1,23,66,5
100170,2000,2024-06-23,187,1,20,64,6
100171,2000,2024-10-25,19,1,11,65,8
100172,2000,2024-04-08,31,1,12,64,7
100173,2000,2024-03-09,21,1,14,64,6
100174,2000,2024-12-02,10,1,17,64,11
100175,2000,2024-11-21,52,1,19,65,7
100176,2000,2024-09-14,165,1,12,63,7
100177,2000,2024-12-14,174,1,19,62,7
100178,2000,2024-02-20,22,1,14,65,7
100179,2000,2024-09-14,365,1,13,65,5
100180,2000,2024-07-23,68,1,14,66,6
100181,2000,2024-03-31,10,1,16,64,8
100182,2000,2024-12-05,167,1,10,63,6
100183,2000,2024-09-17,11,1,13,66,7
100184,2000,2024-02-01,81,1,13,65,3
100185,2000,2024-05-16,336,1,7,65,14
100186,2000,2024-05-21,17,1,15,63,8
100187,2000,2024-05-10,168,1,13,66,7
100188,2000,2024-03-25,23,1,8,65,4
100189,2000,2024-06-19,25,1,12,63,6
100190,2000,2024-12-27,37,1,9,66,8
100191,2000,2024-09-01,33,1,14,63,8
100192,2000,2024-01-25,188,1,18,65,8
100193,2000,2024-11-22,100,1,14,63,7
100194,2000,2024-08-21,66,1,18,65,11
100195,2000,2024-09-25,236,1,13,65,11
100196,2000,2024-06-27,23,1,11,65,7
100197,2000,2024-03-30,18,1,13,66,8
100198,2000,2024-11-13,59,1,14,64,4
100199,2000,2024-03-06,122,1,13,65,12
100200,2000,2024-02-08,52,1,15,65,8
100201,2000,2024-07-19,13,1,9,64,8
100202,2000,2024-01-24,335,1,12,65,11
100203,2000,2024-11-26,76,1,12,65,9
100204,2000,2024-10-15,337,1,12,65,5
100205,2000,2024-06-26,159,1,10,65,9
100206,2000,2024-01-30,37,1,8,65,9
100207,2000,2024-09-24,23,1,18,65,11
100208,2000,2024-05-02,330,1,16,65,7
100209,2000,2024-01-19,42,1,14,65,9
100210,2000,2024-09-06,28,1,17,64,9
100211,2000,2024-12-22,121,1,12,63,4
100212,2000,2024-03-06,12,1,12,64,8
100213,2000,2024-03-04,45,1,14,64,9
100214,2000,2024-10-07,887,1,13,65,6
100215,2000,2024-05-17,555,1,15,65,9
100216,2000,2024-10-16,190,1,24,64,5
100217,2000,2024-03-03,299,1,12,64,6
100218,2000,2024-07-17,69,1,17,63,5
100219,2000,2024-05-18,2468,1,8,64,7
100220,2000,2024-10-15,158,1,11,66,5
100221,2000,2024-09-12,53,1,11,65,4
100222,2000,2024-03-12,122,1,12,65,8
100223,2000,2024-10-10,831,1,12,64,7
100224,2000,2024-08-14,414,1,12,64,10
100225,2000,2024-06-02,44,1,18,62,6
100226,2000,2024-02-20,34,1,13,63,6
100227,2000,2024-05-30,120,1,20,66,6
100228,2000,2024-08-24,54,1,14,64,7
100229,2000,2024-01-03,204,1,16,63,10
100230,2000,2024-03-25,102,1,20,63,5
100231,2000,2024-07-21,460,1,17,65,8
100232,2000,2024-05-02,10,1,10,66,11
100233,2000,2024-04-01,136,1,24,64,7
100234,2000,2024-01-05,26,1,12,64,11
100235,2000,2024-08-16,218,1,11,65,3
100236,2000,2024-09-13,10,1,11,63,10
100237,2000,2024-04-03,868,1,18,64,7
100238,2000,2024-11-19,101,1,18,64,12
100239,2000,2024-09-09,451,1,16,65,9
100240,2000,2024-08-10,522,1,11,63,6
100241,2000,2024-09-16,251,1,11,64,7
100242,2000,2024-05-03,52,1,13,63,7
100243,2000,2024-05-05,994,1,17,63,5
100244,2000,2024-02-08,99,1,16,65,5
100245,2000,2024-07-29,792,1,17,65,7
100246,2000,2024-06-15,109,1,21,65,3
100247,2000,2024-07-14,16,1,16,64,13
100248,2000,2024-06-09,54,1,11,64,7
100249,2000,2024-02-18,192,1,10,66,13
100250,2000,2024-06-13,10,1,13,64,3
100251,2000,2024-02-26,300,1,11,65,7
100252,2000,2024-11-20,310,1,13,65,16
100253,2000,2024-07-07,36,1,9,65,8
100254,2000,2024-03-08,147,1,15,64,9
100255,2000,2024-10-13,771,1,16,65,8
100256,2000,2024-01-10,773,1,18,65,9
100257,2000,2024-11-22,573,1,17,66,2
100258,2000,2024-03-03,497,1,10,64,6
100259,2000,2024-06-17,11,1,19,64,1
100260,2000,2024-07-28,47,1,14,65,6
100261,2000,2024-01-26,20,1,18,63,8
100262,2000,2024-08-12,57,1,16,65,9
100263,2000,2024-08-14,36,1,17,63,6
100264,2000,2024-01-12,46,1,14,63,17
100265,2000,2024-11-07,26,1,18,65,10
100266,2000,2024-05-20,42,1,15,63,12
100267,2000,2024-02-15,27,1,14,64,7
100268,2000,2024-07-11,30,1,15,65,3
100269,2000,2024-10-09,391,1,15,64,7
100270,2000,2024-12-03,71,1,12,65,7
100271,2000,2024-08-17,123,1,10,64,5
100272,2000,2024-04-29,1513,1,16,64,7
100273,2000,2024-09-05,121,1,21,64,9
100274,2000,2024-11-05,246,1,12,65,4
100275,2000,2024-04-22,10,1,10,66,8
100276,2000,2024-07-14,15,1,25,64,16
100277,2000,2024-07-02,211,1,14,66,11
100278,2000,2024-03-31,319,1,15,63,4
100279,2000,2024-08-17,38,1,18,64,8
100280,2000,2024-10-21,149,1,16,64,8
100281,2000,2024-09-14,31,1,14,64,7
100282,2000,2024-10-11,27,1,23,64,4
100283,2000,2024-07-25,27,1,20,63,4
100284,2000,2024-07-29,28,1,12,65,8
100285,2000,2024-10-13,47,1,24,64,8
100286,2000,2024-02-25,127,1,10,65,10
100287,2000,2024-10-15,10,1,18,65,13
100288,2000,2024-06-11,12,1,16,67,9
100289,2000,2024-01-10,1504,1,18,64,10
100290,2000,2024-09-11,10,1,12,65,8
100291,2000,2024-11-07,13,1,8,63,7
100292,2000,2024-12-03,158,1,10,64,8
100293,2000,2024-11-18,212,1,12,65,6
100294,2000,2024-06-23,20,1,15,64,5
100295,2000,2024-02-28,187,1,12,63,12
100296,2000,2024-01-31,16,1,11,63,9
100297,2000,2024-02-06,53,1,11,65,4
100298,2000,2024-10-07,31,1,10,66,14
100299,2000,2024-01-26,35,1,25,65,4
100300,2000,2024-07-03,66,1,10,64,7
100301,2000,2024-06-04,37,1,10,65,8
100302,2000,2024-11-29,286,1,18,63,12
100303,2000,2024-02-01,3264,1,20,65,4
100304,2000,2024-06-03,1057,1,15,64,3
100305,2000,2024-07-20,1374,1,11,65,9
100306,2000,2024-05-02,113,1,10,64,9
100307,2000,2024-06-01,139,1,17,64,7
100308,2001,2024-02-29,18,1,10,66,5
100309,2001,2024-03-14,63,1,14,65,12
100310,2001,2024-12-25,54,1,12,64,7
100311,2001,2024-03-18,127,1,9,64,12
100312,2001,2024-12-30,211,1,14,63,7
100313,2001,2024-08-01,31,1,11,63,4
100314,2001,2024-07-20,145,1,20,65,9
100315,2001,2024-11-04,14,1,5,65,7
100316,2001,2024-09-11,119,1,19,63,11
100317,2001,2024-10-01,623,1,16,64,6
100318,2001,2024-01-21,30,1,12,67,6
100319,2001,2024-04-05,10,1,18,65,5
100320,2001,2024-06-06,13,1,11,66,7
100321,2001,2024-03-05,18,1,16,63,2
100322,2001,2024-04-21,26,1,13,65,11
100323,2001,2024-09-01,285,1,18,65,5
100324,2001,2024-06-30,11,1,17,64,9
100325,2001,2024-10-23,68,1,18,65,6
100326,2001,2024-02-08,74,1,9,63,8
100327,2001,2024-09-02,139,1,24,63,4
100328,2001,2024-06-17,221,1,15,64,6
100329,2001,2024-08-18,71,1,28,66,7
100330,2001,2024-01-28,10,1,18,63,3
100331,2001,2024-07-11,1019,1,21,66,4
100332,2001,2024-11-17,154,1,12,64,11
100333,2001,2024-06-22,10,1,18,65,5
100334,2001,2024-12-07,320,1,14,64,6
100335,2001,2024-06-17,249,1,14,64,12
100336,2001,2024-09-22,38,1,16,64,6
100337,2001,2024-05-10,2270,1,12,63,6
100338,2001,2024-09-02,18,1,19,63,11
100339,2001,2024-03-13,71,1,15,66,11
100340,2001,2024-10-04,86,1,19,65,8
100341,2001,2024-01-16,655,1,19,64,15
100342,2001,2024-12-01,40,1,16,65,12
100343,2001,2024-05-06,31,1,15,65,5
100344,2001,2024-05-25,304,1,17,65,7
100345,2001,2024-10-31,357,1,19,67,10
100346,2001,2024-12-11,39,1,14,67,6
100347,2001,2024-01-02,1954,1,13,62,8
100348,2001,2024-08-11,10,1,16,66,4
100349,2001,2024-04-02,11,1,15,65,5
100350,2001,2024-03-12,618,1,16,65,9
100351,2001,2024-08-14,57,1,17,66,5
100352,2001,2024-11-21,149,1,15,66,11
100353,2001,2024-12-18,155,1,23,65,9
100354,2001,2024-02-17,21,1,8,66,1
100355,2001,2024-10-08,58,1,14,64,14
100356,2001,2024-07-11,93,1,13,67,3
100357,2001,2024-11-12,1107,1,9,65,12
100358,2001,2024-03-22,82,1,16,63,11
100359,2001,2024-10-13,34,1,15,64,9
100360,2001,2024-07-18,28,1,18,63,11
100361,2001,2024-07-11,58,1,13,64,8
100362,2001,2024-01-15,103,1,18,63,13
100363,2001,2024-02-08,17,1,8,65,9
100364,2001,2024-04-24,51,1,17,65,6
100365,2001,2024-08-03,135,1,10,64,12
100366,2001,2024-10-11,15,1,12,66,5
100367,2001,2024-04-28,43,1,11,64,4
100368,2001,2024-06-23,20,1,15,64,10
100369,2001,2024-07-02,97,1,17,65,6
100370,2001,2024-12-31,98,1,11,66,12
100371,2001,2024-08-27,429,1,11,65,5
100372,2001,2024-07-22,227,1,13,63,8
100373,2001,2024-12-22,165,1,18,64,5
100374,2001,2024-09-19,42,1,22,64,7
100375,2001,2024-03-24,18,1,15,65,9
100376,2001,2024-03-15,49,1,4,65,8
100377,2001,2024-06-05,124,1,18,65,13
100378,2001,2024-08-30,73,1,18,66,5
100379,2001,2024-08-08,49,1,12,65,8
100380,2001,2024-02-07,133,1,9,64,3
100381,2001,2024-04-07,10,1,9,65,11
100382,2001,2024-12-19,233,1,7,65,9
100383,2001,2024-05-29,1541,1,21,65,7
100384,2001,2024-09-12,116,1,19,63,6
100385,2001,2024-12-30,158,1,8,64,11
100386,2001,2024-10-23,192,1,13,64,14
100387,2001,2024-09-02,10,1,14,64,11
100388,2001,2024-03-31,555,1,13,64,5
100389,2001,2024-11-25,310,1,8,65,8
100390,2001,2024-01-27,436,1,12,66,5
100391,2001,2024-09-01,18,1,16,64,10
100392,2001,2024-01-10,139,1,13,64,6
100393,2001,2024-04-17,14,1,14,64,8
100394,2001,2024-08-26,88,1,14,65,11
100395,2001,2024-06-18,24,1,15,65,8
100396,2001,2024-01-10,19,1,25,63,13
100397,2001,2024-09-17,209,1,14,64,9
100398,2001,2024-06-18,10,1,14,64,6
100399,2001,2024-07-15,47,1,13,65,8
100400,2001,2024-12-28,359,1,19,64,8
100401,2001,2024-05-28,220,1,13,64,15
100402,2001,2024-06-21,89,1,11,65,6
100403,2001,2024-11-18,266,1,21,63,14
100404,2001,2024-07-25,73,1,9,63,6
100405,2001,2024-11-12,82,1,17,65,11
100406,2001,2024-11-08,50,1,21,66,7
100407,2001,2024-11-30,10,1,10,64,8
100408,2001,2024-03-18,255,1,18,66,5
100409,2001,2024-05-14,599,1,14,65,8
100410,2001,2024-01-24,10,1,18,65,13
100411,2001,2024-09-14,21,1,13,64,8
100412,2001,2024-09-10,32,1,18,66,10
100413,2001,2024-12-06,99,1,11,65,11
100414,2001,2024-12-05,1637,1,15,65,5
100415,2001,2024-06-07,26,1,15,64,12
100416,2001,2024-11-04,29,1,10,64,9
100417,2001,2024-09-14,335,1,17,66,10
100418,2001,2024-11-19,833,1,19,65,8
100419,2001,2024-12-12,133,1,7,63,7
100420,2001,2024-12-21,43,1,16,64,7
100421,2001,2024-05-26,21,1,4,63,10
100422,2001,2024-04-19,154,1,17,65,6
100423,2001,2024-03-22,415,1,16,65,5
100424,2001,2024-09-22,174,1,12,64,10
100425,2001,2024-06-27,153,1,9,65,9
100426,2001,2024-11-23,271,1,13,67,4
100427,2001,2024-08-31,27,1,19,65,8
100428,2001,2024-05-31,286,1,11,65,9
100429,2001,2024-02-28,38,1,16,66,8
100430,2001,2024-08-05,143,1,18,65,13
100431,2001,2024-02-19,16,1,15,65,9
100432,2001,2024-03-24,25,1,10,66,12
100433,2001,2024-09-08,541,1,16,66,6
100434,2001,2024-01-26,14,1,16,63,6
100435,2001,2024-10-29,140,1,18,65,3
100436,2001,2024-08-05,81,1,17,64,9
100437,2001,2024-02-02,47,1,19,65,4
100438,2001,2024-08-12,11,1,12,66,12
100439,2001,2024-10-06,18,1,13,65,9
100440,2001,2024-07-18,320,1,12,66,16
100441,2001,2024-06-25,106,1,9,66,8
100442,2001,2024-01-26,15,1,14,65,8
100443,2001,2024-08-13,57,1,21,63,8
100444,2001,2024-10-20,271,1,16,66,4
100445,2001,2024-07-12,46,1,20,63,11
100446,2001,2024-08-21,17,1,12,64,8
100447,2001,2024-09-15,190,1,24,63,7
100448,2001,2024-01-19,168,1,8,64,8
100449,2001,2024-09-03,347,1,8,65,10
100450,2001,2024-07-22,17,1,19,64,7
100451,2001,2024-11-07,60,1,13,65,5
100452,2001,2024-08-15,14,1,19,65,6
100453,2001,2024-01-07,61,1,16,64,5
100454,2001,2024-09-08,695,1,19,65,6
100455,2001,2024-09-23,16,1,8,65,10
100456,2001,2024-07-23,120,1,13,64,10
100457,2001,2024-07-26,154,1,12,65,8
100458,2001,2024-07-31,119,1,12,64,6
100459,2001,2024-10-21,265,1,15,65,4
100460,2001,2024-01-22,33,1,10,64,7
100461,2001,2024-02-27,63,1,10,65,14
100462,2001,2024-11-20,41,1,10,64,3
100463,2001,2024-05-14,90,1,17,63,9
100464,2001,2024-09-05,10,1,10,65,9
100465,2001,2024-12-12,38,1,10,66,8
100466,2001,2024-11-16,29,1,11,66,3
100467,2001,2024-07-01,48,1,11,64,5
100468,2001,2024-02-21,224,1,11,64,9
100469,2001,2024-08-28,55,1,14,63,7
100470,2001,2024-09-30,1679,1,13,65,7
100471,2001,2024-06-10,30,1,21,66,6
100472,2001,2024-06-15,280,1,17,64,12
100473,2001,2024-01-04,48,1,12,65,12
100474,2001,2024-04-05,51,1,21,65,12
100475,2001,2024-10-07,320,1,14,65,8
100476,2001,2024-07-08,58,1,13,65,5
100477,2001,2024-03-14,108,1,17,65,7
100478,2001,2024-04-17,1211,1,17,62,9
100479,2001,2024-06-10,377,1,19,63,7
100480,2001,2024-01-21,24,1,8,66,14
100481,2001,2024-10-01,45,1,17,64,11
100482,2001,2024-06-05,62,1,18,64,7
100483,2001,2024-12-13,253,1,20,66,13
100484,2001,2024-12-26,39,1,9,65,7
100485,2001,2024-07-01,30,1,15,64,11
100486,2001,2024-02-05,71,1,19,64,6
100487,2001,2024-09-23,45,1,24,62,5
100488,2001,2024-01-24,98,1,7,64,7
100489,2001,2024-04-09,304,1,20,65,5
100490,2001,2024-12-02,84,1,16,63,9
100491,2001,2024-01-20,87,1,16,65,7
100492,2001,2024-03-11,16,1,14,63,8
100493,2001,2024-08-12,386,1,11,64,6
100494,2001,2024-05-11,112,1,15,65,7
100495,2001,2024-09-20,53,1,18,65,5
100496,2001,2024-12-12,41,1,17,65,7
100497,2001,2024-05-19,379,1,16,66,6
100498,2001,2024-06-12,1241,1,22,63,7
100499,2001,2024-10-24,40,1,12,65,7
100500,2001,2024-03-29,2920,1,9,65,6
100501,2001,2024-08-17,17,1,14,64,6
100502,2001,2024-12-14,1836,1,12,64,9
100503,2001,2024-11-17,320,1,12,64,15
100504,2001,2024-05-07,129,1,13,65,9
100505,2001,2024-11-26,434,1,17,65,8
100506,2001,2024-09-07,34,1,12,65,8
100507,2001,2024-07-01,286,1,12,65,12
100508,2001,2024-10-29,309,1,13,63,7
100509,2001,2024-02-13,315,1,18,65,10
100510,2001,2024-12-17,17,1,8,64,7
100511,2001,2024-03-15,27,1,10,65,5
100512,2001,2024-05-16,248,1,15,64,9
100513,2001,2024-03-24,32,1,20,64,10
100514,2001,2024-06-15,13,1,15,66,2
100515,2001,2024-06-09,26,1,18,67,9
100516,2001,2024-08-24,59,1,21,64,4
100517,2001,2024-05-29,100,1,12,65,7
100518,2001,2024-07-21,139,1,12,65,7
100519,2001,2024-03-28,40,1,15,65,7
100520,2001,2024-11-11,221,1,14,64,10
100521,2001,2024-01-07,43,1,18,65,9
100522,2001,2024-09-07,313,1,12,64,8
100523,2001,2024-07-25,106,1,18,65,7
100524,2001,2024-07-18,44,1,12,64,11
100525,2001,2024-03-19,1940,1,12,64,9
100526,2001,2024-12-14,1639,1,15,63,11
100527,2001,2024-06-08,76,1,15,66,8
100528,2001,2024-10-28,368,1,12,64,10
100529,2001,2024-06-01,248,1,15,64,8
100530,2001,2024-04-05,76,1,15,65,8
100531,2001,2024-04-14,144,1,6,65,7
100532,2001,2024-12-24,30,1,9,65,4
100533,2001,2024-08-01,1346,1,26,65,3
100534,2001,2024-04-19,248,1,10,64,7
100535,2001,2024-08-05,12,1,15,64,9
100536,2001,2024-08-03,44,1,16,66,7
100537,2001,2024-08-15,36,1,18,63,6
100538,2001,2024-09-22,10,1,14,64,5
100539,2001,2024-03-27,16,1,12,65,8
100540,2001,2024-09-23,43,1,15,65,7
100541,2001,2024-07-19,22,1,14,64,7
100542,2001,2024-06-19,175,1,13,64,7
100543,2001,2024-11-15,195,1,12,66,14
100544,2001,2024-04-30,283,1,16,67,1
100545,2001,2024-03-11,32,1,11,63,6
100546,2001,2024-11-13,233,1,13,63,8
100547,2001,2024-08-15,29,1,12,65,11
100548,2001,2024-10-17,167,1,15,64,8
100549,2001,2024-07-15,30,1,21,65,3
100550,2001,2024-01-13,698,1,27,66,8
100551,2001,2024-02-15,89,1,15,66,4
100552,2001,2024-04-05,89,1,14,65,8
100553,2001,2024-03-09,92,1,9,65,7
100554,2001,2024-06-08,101,1,16,62,9
100555,2001,2024-07-22,12,1,11,64,11
100556,2001,2024-05-29,199,1,14,65,14
100557,2001,2024-10-29,207,1,13,64,9
100558,2001,2024-06-19,27,1,7,66,8
100559,2001,2024-10-16,335,1,12,65,6
100560,2001,2024-08-05,70,1,17,64,14
100561,2001,2024-06-12,22,1,12,64,9
100562,2001,2024-09-17,2109,1,15,66,7
100563,2001,2024-04-25,10000,1,16,65,8
100564,2001,2024-11-27,5871,1,16,63,8
100565,2001,2024-11-06,1897,1,23,64,7
100566,2001,2024-08-21,28,1,19,66,4
100567,2001,2024-02-24,10,1,12,64,7
100568,2001,2024-06-30,47,1,16,65,6
100569,2001,2024-12-19,1040,1,20,65,9
100570,2001,2024-03-31,45,1,19,63,7
100571,2001,2024-08-10,57,1,16,65,13
100572,2001,2024-05-16,47,1,14,65,13
100573,2001,2024-04-08,10,1,18,64,10
100574,2001,2024-05-10,105,1,15,65,5
100575,2001,2024-11-17,682,1,14,66,8
100576,2001,2024-11-30,204,1,18,64,10
100577,2001,2024-12-19,317,1,16,64,9
100578,2001,2024-01-15,47,1,8,66,11
100579,2001,2024-06-22,10,1,12,65,12
100580,2001,2024-12-17,107,1,12,65,19
100581,2001,2024-04-09,54,1,10,64,10
100582,2001,2024-05-30,215,1,16,64,9
100583,2001,2024-08-16,76,1,20,67,13
100584,2001,2024-04-13,124,1,13,65,8
100585,2001,2024-10-22,102,1,20,63,3
100586,2001,2024-11-24,942,1,16,65,9
100587,2001,2024-07-15,260,1,14,64,8
100588,2001,2024-05-17,131,1,9,66,6
100589,2001,2024-11-03,256,1,15,63,5
100590,2001,2024-10-13,185,1,14,63,6
100591,2001,2024-06-03,275,1,14,62,7
100592,2001,2024-12-06,200,1,14,65,13
100593,2001,2024-06-24,593,1,15,63,6
100594,2001,2024-04-29,561,1,11,66,7
100595,2001,2024-11-20,42,1,15,64,8
100596,2001,2024-09-04,63,1,19,65,7
100597,2001,2024-11-07,114,1,14,65,12
100598,2001,2024-10-07,40,1,22,66,6
100599,2001,2024-11-26,125,1,22,65,5
100600,2001,2024-11-24,74,1,13,63,5
100601,2001,2024-02-05,47,1,17,65,8
100602,2001,2024-06-11,314,1,17,63,10
